2010-10-08 10:32:31 Notice: Notice (8): Trying to get property of non-object in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/app/controllers/components/configuration.php, line 34]
2010-10-08 10:32:31 Notice: Notice (8): Use of undefined constant CACHE_CHECK - assumed 'CACHE_CHECK' in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/app/controllers/components/fieldlength.php, line 33]
2010-10-08 10:32:31 Notice: Notice (8): Use of undefined constant CONFIG_CRON_INTERVAL - assumed 'CONFIG_CRON_INTERVAL' in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/app/controllers/components/cron.php, line 23]
2010-10-08 10:32:31 Notice: Notice (8): Trying to get property of non-object in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/app/controllers/components/configuration.php, line 34]
2010-10-08 10:32:31 Notice: Notice (8): Use of undefined constant CONFIG_CRON_INTERVAL - assumed 'CONFIG_CRON_INTERVAL' in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/app/controllers/components/cron.php, line 23]
2010-10-08 10:32:31 Notice: Notice (8): Trying to get property of non-object in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/app/controllers/components/configuration.php, line 34]
2010-10-08 10:32:31 Notice: Notice (8): Use of undefined constant CACHE_CHECK - assumed 'CACHE_CHECK' in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/app/controllers/components/fieldlength.php, line 33]
2010-10-08 10:32:31 Notice: Notice (8): Use of undefined constant CONFIG_CRON_INTERVAL - assumed 'CONFIG_CRON_INTERVAL' in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/app/controllers/components/cron.php, line 23]
2010-10-08 10:32:31 Notice: Notice (8): Trying to get property of non-object in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/app/controllers/components/configuration.php, line 34]
2010-10-08 10:32:31 Notice: Notice (8): Use of undefined constant CONFIG_CRON_INTERVAL - assumed 'CONFIG_CRON_INTERVAL' in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/app/controllers/components/cron.php, line 23]
2010-10-08 10:32:31 Notice: Notice (8): Trying to get property of non-object in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/app/controllers/components/configuration.php, line 34]
2010-10-08 10:32:32 Notice: Notice (8): Use of undefined constant CACHE_CHECK - assumed 'CACHE_CHECK' in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/app/controllers/components/fieldlength.php, line 33]
2010-10-08 10:32:32 Notice: Notice (8): Use of undefined constant CONFIG_CRON_INTERVAL - assumed 'CONFIG_CRON_INTERVAL' in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/app/controllers/components/cron.php, line 23]
2010-10-08 10:32:32 Notice: Notice (8): Trying to get property of non-object in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/app/controllers/components/configuration.php, line 34]
2010-10-08 10:34:42 Notice: Notice (8): Use of undefined constant CACHE_CHECK - assumed 'CACHE_CHECK' in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/app/controllers/components/fieldlength.php, line 33]
2010-10-08 10:34:42 Notice: Notice (8): Use of undefined constant CONFIG_CRON_INTERVAL - assumed 'CONFIG_CRON_INTERVAL' in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/app/controllers/components/cron.php, line 23]
2010-10-08 10:34:42 Notice: Notice (8): Trying to get property of non-object in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/app/controllers/components/configuration.php, line 34]
2010-10-08 10:34:42 Notice: Notice (8): Use of undefined constant CONFIG_CRON_INTERVAL - assumed 'CONFIG_CRON_INTERVAL' in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/app/controllers/components/cron.php, line 23]
2010-10-08 10:34:42 Notice: Notice (8): Trying to get property of non-object in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/app/controllers/components/configuration.php, line 34]
2010-10-08 10:34:42 Notice: Notice (8): Use of undefined constant CONFIG_CRON_INTERVAL - assumed 'CONFIG_CRON_INTERVAL' in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/app/controllers/components/cron.php, line 23]
2010-10-08 10:34:42 Notice: Notice (8): Trying to get property of non-object in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/app/controllers/components/configuration.php, line 34]
2010-10-08 10:34:42 Notice: Notice (8): Use of undefined constant CACHE_CHECK - assumed 'CACHE_CHECK' in [/mnt/projects/computer/zeiterfassung_epple/workspace/zeiterfassung_epple/app/controllers/components/fieldlength.php, line 33]
